2021-04-25 13:33:19.485002 IC 7 THERM 0: 23.62 C
2021-04-25 13:33:19.485002 IC 7 THERM 1: 23.75 C
2021-04-25 13:33:19.485002 IC 7 THERM 2: 23.71 C
2021-04-25 13:33:19.486971 BMS STATE: 1
2021-04-25 13:33:19.500061 BAL IC8 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC8 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL0: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL1: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL2: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL3: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL4: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL5: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL6: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL7: OFF
2021-04-25 13:33:19.500061 BAL IC9 CELL8: OFF
2021-04-25 13:33:19.500061 BAL IC10 CELL0: OFF
2021-04-25 13:33:19.502106 TCU WHEEL RPM REAR LEFT: 11.12 RPM
2021-04-25 13:33:19.502106 TCU WHEEL RPM REAR RIGHT: 11.12 RPM
2021-04-25 13:33:19.503775 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:19.503775 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:19.565461 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:19.639444 ECU CURRENT: 0.41 A
2021-04-25 13:33:19.639444 COOLING CURRENT: 654.89 A
2021-04-25 13:33:19.641201 MOTOR ANGLE: 119.3
2021-04-25 13:33:19.641201 MOTOR SPEED: -560 RPM
2021-04-25 13:33:19.641201 ELEC OUTPUT FREQ: -93.3
2021-04-25 13:33:19.641201 DELTA RESOLVER FILT: 812
2021-04-25 13:33:19.643150 PHASE A CURRENT: -40.4 A
2021-04-25 13:33:19.643150 PHASE B CURRENT: 31.1 A
2021-04-25 13:33:19.643150 PHASE C CURRENT: 6.8 A
2021-04-25 13:33:19.643150 DC BUS CURRENT: 3.5 A
2021-04-25 13:33:19.644880 DC BUS VOLTAGE: 297.3 V
2021-04-25 13:33:19.644880 OUTPUT VOLTAGE: 24.8 V
2021-04-25 13:33:19.644880 PHASE AB VOLTAGE: 3.2 V
2021-04-25 13:33:19.644880 PHASE BC VOLTAGE: 24.6 V
2021-04-25 13:33:19.648193 MOTOR ANGLE: 104.8
2021-04-25 13:33:19.648193 MOTOR SPEED: -687 RPM
2021-04-25 13:33:19.648193 ELEC OUTPUT FREQ: -114.6
2021-04-25 13:33:19.648193 DELTA RESOLVER FILT: 805
2021-04-25 13:33:19.650028 PHASE A CURRENT: -1.4 A
2021-04-25 13:33:19.650028 PHASE B CURRENT: 38.7 A
2021-04-25 13:33:19.650028 PHASE C CURRENT: -35.3 A
2021-04-25 13:33:19.650028 DC BUS CURRENT: 3.5 A
2021-04-25 13:33:19.719624 DC BUS VOLTAGE: 296.6 V
2021-04-25 13:33:19.719624 OUTPUT VOLTAGE: 25.4 V
2021-04-25 13:33:19.719624 PHASE AB VOLTAGE: 3.3 V
2021-04-25 13:33:19.719624 PHASE BC VOLTAGE: 25.1 V
2021-04-25 13:33:19.722249 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:19.722249 TORQUE FEEDBACK: 16.9 Nm
2021-04-25 13:33:19.722249 RMS UPTIME: 14 s
2021-04-25 13:33:19.724362 REQUESTED TORQUE: 17.8 Nm
2021-04-25 13:33:19.726404 MCU PEDAL ACCEL 1: 2081
2021-04-25 13:33:19.726404 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:19.726404 MCU PEDAL BRAKE: 423
2021-04-25 13:33:19.726404 MCU IMPLAUS ACCEL: 1
2021-04-25 13:33:19.726404 MCU IMPLAUS BRAKE: 1
2021-04-25 13:33:19.726404 MCU BRAKE ACT: 0
2021-04-25 13:33:19.726404 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:19.728700 TCU WHEEL RPM REAR LEFT: 14.26 RPM
2021-04-25 13:33:19.728700 TCU WHEEL RPM REAR RIGHT: 14.26 RPM
2021-04-25 13:33:19.731057 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:19.731057 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:19.733471 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:19.737539 MOTOR ANGLE: 293.4
2021-04-25 13:33:19.737539 MOTOR SPEED: -699 RPM
2021-04-25 13:33:19.737539 ELEC OUTPUT FREQ: -116.6
2021-04-25 13:33:19.737539 DELTA RESOLVER FILT: 804
2021-04-25 13:33:19.739654 PHASE A CURRENT: 10.2 A
2021-04-25 13:33:19.739654 PHASE B CURRENT: -39.7 A
2021-04-25 13:33:19.739654 PHASE C CURRENT: 31.2 A
2021-04-25 13:33:19.739654 DC BUS CURRENT: 3.5 A
2021-04-25 13:33:20.059062 DC BUS VOLTAGE: 296.4 V
2021-04-25 13:33:20.059062 OUTPUT VOLTAGE: 25.7 V
2021-04-25 13:33:20.059062 PHASE AB VOLTAGE: 3.4 V
2021-04-25 13:33:20.059062 PHASE BC VOLTAGE: 25.4 V
2021-04-25 13:33:20.133290 MOTOR ANGLE: 31.9
2021-04-25 13:33:20.133290 MOTOR SPEED: -712 RPM
2021-04-25 13:33:20.133290 ELEC OUTPUT FREQ: -118.8
2021-04-25 13:33:20.133290 DELTA RESOLVER FILT: 803
2021-04-25 13:33:20.135644 PHASE A CURRENT: 42.1 A
2021-04-25 13:33:20.135644 PHASE B CURRENT: -3.1 A
2021-04-25 13:33:20.135644 PHASE C CURRENT: -38.8 A
2021-04-25 13:33:20.135644 DC BUS CURRENT: 3.5 A
2021-04-25 13:33:20.137654 DC BUS VOLTAGE: 297.0 V
2021-04-25 13:33:20.137654 OUTPUT VOLTAGE: 25.8 V
2021-04-25 13:33:20.137654 PHASE AB VOLTAGE: 3.4 V
2021-04-25 13:33:20.137654 PHASE BC VOLTAGE: 25.6 V
2021-04-25 13:33:20.140155 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:20.140155 TORQUE FEEDBACK: 18.2 Nm
2021-04-25 13:33:20.140155 RMS UPTIME: 14 s
2021-04-25 13:33:20.142440 BMS VOLTAGE AVERAGE: 4.076 V
2021-04-25 13:33:20.142440 BMS VOLTAGE LOW: 4.0625 V
2021-04-25 13:33:20.142440 BMS VOLTAGE HIGH: 4.0939 V
2021-04-25 13:33:20.142440 BMS VOLTAGE TOTAL: 293.47 V
2021-04-25 13:33:20.144446 BMS STATE: 1
2021-04-25 13:33:20.144446 BMS ERROR FLAGS: 0x00
2021-04-25 13:33:20.144446 BMS CURRENT: 0.73 A
2021-04-25 13:33:20.147312 BMS TOTAL CHARGE: 84394.3167 C
2021-04-25 13:33:20.147312 BMS TOTAL DISCHARGE: 8413.9777 C
2021-04-25 13:33:20.149930 REQUESTED TORQUE: 17.7 Nm
2021-04-25 13:33:20.152560 MCU PEDAL ACCEL 1: 2081
2021-04-25 13:33:20.152560 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:20.152560 MCU PEDAL BRAKE: 421
2021-04-25 13:33:20.152560 MCU IMPLAUS ACCEL: 1
2021-04-25 13:33:20.152560 MCU IMPLAUS BRAKE: 1
2021-04-25 13:33:20.152560 MCU BRAKE ACT: 0
2021-04-25 13:33:20.152560 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:20.155485 TCU WHEEL RPM REAR LEFT: 15.11 RPM
2021-04-25 13:33:20.155485 TCU WHEEL RPM REAR RIGHT: 15.11 RPM
2021-04-25 13:33:20.157702 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:20.157702 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:20.159803 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:20.165222 ECU CURRENT: 654.98 A
2021-04-25 13:33:20.165222 COOLING CURRENT: 654.98 A
2021-04-25 13:33:20.167570 DC BUS VOLTAGE: 297.2 V
2021-04-25 13:33:20.167570 OUTPUT VOLTAGE: 26.0 V
2021-04-25 13:33:20.167570 PHASE AB VOLTAGE: 3.6 V
2021-04-25 13:33:20.167570 PHASE BC VOLTAGE: 25.7 V
2021-04-25 13:33:20.171153 MOTOR ANGLE: 75.6
2021-04-25 13:33:20.171153 MOTOR SPEED: -717 RPM
2021-04-25 13:33:20.171153 ELEC OUTPUT FREQ: -119.6
2021-04-25 13:33:20.171153 DELTA RESOLVER FILT: 803
2021-04-25 13:33:20.173141 PHASE A CURRENT: 7.0 A
2021-04-25 13:33:20.173141 PHASE B CURRENT: 35.8 A
2021-04-25 13:33:20.173141 PHASE C CURRENT: -44.6 A
2021-04-25 13:33:20.173141 DC BUS CURRENT: 3.5 A
2021-04-25 13:33:20.328736 DC BUS VOLTAGE: 296.8 V
2021-04-25 13:33:20.328736 OUTPUT VOLTAGE: 26.8 V
2021-04-25 13:33:20.328736 PHASE AB VOLTAGE: 4.0 V
2021-04-25 13:33:20.328736 PHASE BC VOLTAGE: 26.5 V
2021-04-25 13:33:20.413788 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:20.413788 TORQUE FEEDBACK: 18.9 Nm
2021-04-25 13:33:20.413788 RMS UPTIME: 15 s
2021-04-25 13:33:20.416797 REQUESTED TORQUE: 17.8 Nm
2021-04-25 13:33:20.419439 MCU PEDAL ACCEL 1: 2080
2021-04-25 13:33:20.419439 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:20.419439 MCU PEDAL BRAKE: 422
2021-04-25 13:33:20.419439 MCU IMPLAUS ACCEL: 1
2021-04-25 13:33:20.419439 MCU IMPLAUS BRAKE: 1
2021-04-25 13:33:20.419439 MCU BRAKE ACT: 0
2021-04-25 13:33:20.419439 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:20.422070 TCU WHEEL RPM REAR LEFT: 16.02 RPM
2021-04-25 13:33:20.422070 TCU WHEEL RPM REAR RIGHT: 16.02 RPM
2021-04-25 13:33:20.424565 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:20.424565 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:20.427308 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:20.431943 MOTOR ANGLE: 12.4
2021-04-25 13:33:20.431943 MOTOR SPEED: -747 RPM
2021-04-25 13:33:20.431943 ELEC OUTPUT FREQ: -124.5
2021-04-25 13:33:20.431943 DELTA RESOLVER FILT: 802
2021-04-25 13:33:20.630285 PHASE A CURRENT: 46.2 A
2021-04-25 13:33:20.630285 PHASE B CURRENT: -10.1 A
2021-04-25 13:33:20.630285 PHASE C CURRENT: -36.1 A
2021-04-25 13:33:20.630285 DC BUS CURRENT: 4.0 A
2021-04-25 13:33:20.713442 MOTOR ANGLE: 229.4
2021-04-25 13:33:20.713442 MOTOR SPEED: -760 RPM
2021-04-25 13:33:20.713442 ELEC OUTPUT FREQ: -126.7
2021-04-25 13:33:20.713442 DELTA RESOLVER FILT: 801
2021-04-25 13:33:20.715369 PHASE A CURRENT: -29.8 A
2021-04-25 13:33:20.715369 PHASE B CURRENT: -10.1 A
2021-04-25 13:33:20.715369 PHASE C CURRENT: 42.9 A
2021-04-25 13:33:20.715369 DC BUS CURRENT: 3.9 A
2021-04-25 13:33:20.717066 DC BUS VOLTAGE: 296.8 V
2021-04-25 13:33:20.717066 OUTPUT VOLTAGE: 27.1 V
2021-04-25 13:33:20.717066 PHASE AB VOLTAGE: 4.1 V
2021-04-25 13:33:20.717066 PHASE BC VOLTAGE: 26.8 V
2021-04-25 13:33:20.718723 REQUESTED TORQUE: 17.8 Nm
2021-04-25 13:33:20.720306 MCU PEDAL ACCEL 1: 2080
2021-04-25 13:33:20.720306 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:20.720306 MCU PEDAL BRAKE: 422
2021-04-25 13:33:20.720306 MCU IMPLAUS ACCEL: 1
2021-04-25 13:33:20.720306 MCU IMPLAUS BRAKE: 1
2021-04-25 13:33:20.720306 MCU BRAKE ACT: 0
2021-04-25 13:33:20.720306 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:20.722172 TCU WHEEL RPM REAR LEFT: 58.39 RPM
2021-04-25 13:33:20.722172 TCU WHEEL RPM REAR RIGHT: 58.39 RPM
2021-04-25 13:33:20.723957 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:20.723957 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:20.725861 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:20.796450 MOTOR ANGLE: 4.5
2021-04-25 13:33:20.796450 MOTOR SPEED: -762 RPM
2021-04-25 13:33:20.796450 ELEC OUTPUT FREQ: -127.1
2021-04-25 13:33:20.796450 DELTA RESOLVER FILT: 801
2021-04-25 13:33:20.798564 PHASE A CURRENT: 31.0 A
2021-04-25 13:33:20.798564 PHASE B CURRENT: -45.6 A
2021-04-25 13:33:20.798564 PHASE C CURRENT: 17.7 A
2021-04-25 13:33:20.798564 DC BUS CURRENT: 4.0 A
2021-04-25 13:33:20.800404 DC BUS VOLTAGE: 296.8 V
2021-04-25 13:33:20.800404 OUTPUT VOLTAGE: 27.3 V
2021-04-25 13:33:20.800404 PHASE AB VOLTAGE: 4.0 V
2021-04-25 13:33:20.800404 PHASE BC VOLTAGE: 27.0 V
2021-04-25 13:33:20.802223 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:20.802223 TORQUE FEEDBACK: 17.2 Nm
2021-04-25 13:33:20.802223 RMS UPTIME: 15 s
2021-04-25 13:33:20.803983 MOTOR ANGLE: 8.3
2021-04-25 13:33:20.803983 MOTOR SPEED: -792 RPM
2021-04-25 13:33:20.803983 ELEC OUTPUT FREQ: -132.0
2021-04-25 13:33:20.803983 DELTA RESOLVER FILT: 800
2021-04-25 13:33:20.805923 PHASE A CURRENT: 45.7 A
2021-04-25 13:33:20.805923 PHASE B CURRENT: -12.8 A
2021-04-25 13:33:20.805923 PHASE C CURRENT: -31.2 A
2021-04-25 13:33:20.805923 DC BUS CURRENT: 4.1 A
2021-04-25 13:33:20.807838 DC BUS VOLTAGE: 296.7 V
2021-04-25 13:33:20.807838 OUTPUT VOLTAGE: 27.9 V
2021-04-25 13:33:20.807838 PHASE AB VOLTAGE: 4.2 V
2021-04-25 13:33:20.807838 PHASE BC VOLTAGE: 27.5 V
2021-04-25 13:33:20.811093 ECU CURRENT: 653.72 A
2021-04-25 13:33:20.811093 COOLING CURRENT: 654.36 A
2021-04-25 13:33:20.866411 MOTOR ANGLE: 294.1
2021-04-25 13:33:20.866411 MOTOR SPEED: -801 RPM
2021-04-25 13:33:20.866411 ELEC OUTPUT FREQ: -133.6
2021-04-25 13:33:20.866411 DELTA RESOLVER FILT: 799
2021-04-25 13:33:20.868290 PHASE A CURRENT: 19.9 A
2021-04-25 13:33:20.868290 PHASE B CURRENT: -43.5 A
2021-04-25 13:33:20.868290 PHASE C CURRENT: 25.9 A
2021-04-25 13:33:20.868290 DC BUS CURRENT: 4.2 A
2021-04-25 13:33:20.869945 DC BUS VOLTAGE: 296.6 V
2021-04-25 13:33:20.869945 OUTPUT VOLTAGE: 28.2 V
2021-04-25 13:33:20.869945 PHASE AB VOLTAGE: 4.0 V
2021-04-25 13:33:20.869945 PHASE BC VOLTAGE: 27.9 V
2021-04-25 13:33:20.871648 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:20.871648 TORQUE FEEDBACK: 16.9 Nm
2021-04-25 13:33:20.871648 RMS UPTIME: 15 s
2021-04-25 13:33:20.873262 REQUESTED TORQUE: 17.7 Nm
2021-04-25 13:33:20.874828 MCU PEDAL ACCEL 1: 2081
2021-04-25 13:33:20.874828 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:20.874828 MCU PEDAL BRAKE: 423
2021-04-25 13:33:20.874828 MCU IMPLAUS ACCEL: 0
2021-04-25 13:33:20.874828 MCU IMPLAUS BRAKE: 0
2021-04-25 13:33:20.874828 MCU BRAKE ACT: 1
2021-04-25 13:33:20.874828 MCU TORQUE MAP MODE: 1
2021-04-25 13:33:20.876491 TCU WHEEL RPM REAR LEFT: 17.44 RPM
2021-04-25 13:33:20.876491 TCU WHEEL RPM REAR RIGHT: 17.44 RPM
2021-04-25 13:33:20.878448 TCU WHEEL RPM FRONT LEFT: 0.0 RPM
2021-04-25 13:33:20.878448 TCU WHEEL RPM FRONT RIGHT: 2.56 RPM
2021-04-25 13:33:20.880429 TCU DISTANCE TRAVELED: 0.0 m
2021-04-25 13:33:21.335256 MOTOR ANGLE: 140.7
2021-04-25 13:33:21.335256 MOTOR SPEED: -825 RPM
2021-04-25 13:33:21.335256 ELEC OUTPUT FREQ: -137.5
2021-04-25 13:33:21.335256 DELTA RESOLVER FILT: 799
2021-04-25 13:33:21.337259 PHASE A CURRENT: -37.7 A
2021-04-25 13:33:21.337259 PHASE B CURRENT: 43.7 A
2021-04-25 13:33:21.337259 PHASE C CURRENT: -7.4 A
2021-04-25 13:33:21.337259 DC BUS CURRENT: 4.4 A
2021-04-25 13:33:21.339079 DC BUS VOLTAGE: 297.2 V
2021-04-25 13:33:21.339079 OUTPUT VOLTAGE: 28.6 V
2021-04-25 13:33:21.339079 PHASE AB VOLTAGE: 4.2 V
2021-04-25 13:33:21.339079 PHASE BC VOLTAGE: 28.3 V
2021-04-25 13:33:21.340879 MOTOR ANGLE: 263.2
2021-04-25 13:33:21.340879 MOTOR SPEED: -833 RPM
2021-04-25 13:33:21.340879 ELEC OUTPUT FREQ: -138.9
2021-04-25 13:33:21.340879 DELTA RESOLVER FILT: 798
2021-04-25 13:33:21.342663 PHASE A CURRENT: -7.0 A
2021-04-25 13:33:21.342663 PHASE B CURRENT: -39.7 A
2021-04-25 13:33:21.342663 PHASE C CURRENT: 42.3 A
2021-04-25 13:33:21.342663 DC BUS CURRENT: 4.3 A
2021-04-25 13:33:21.344432 DC BUS VOLTAGE: 296.7 V
2021-04-25 13:33:21.344432 OUTPUT VOLTAGE: 28.8 V
2021-04-25 13:33:21.344432 PHASE AB VOLTAGE: 4.1 V
2021-04-25 13:33:21.344432 PHASE BC VOLTAGE: 28.5 V
2021-04-25 13:33:21.346588 COMMANDED TORQUE: 17.7 Nm
2021-04-25 13:33:21.346588 TORQUE FEEDBACK: 19.6 Nm
2021-04-25 13:33:21.346588 RMS UPTIME: 15 s
2021-04-25 13:33:21.348507 REQUESTED TORQUE: 17.7 Nm
2021-04-25 13:33:21.350270 MCU PEDAL ACCEL 1: 2080
2021-04-25 13:33:21.350270 MCU PEDAL ACCEL 2: 1999
2021-04-25 13:33:21.350270 MCU PEDAL BRAKE: 423
2021-04-25 13:33:21.350270 MCU IMPLAUS ACCEL: 1
